Container,Workload,Impl,Benchmark,Mean (ns),Iterations,Samples
"Map<uintptr_t,int>","90% find / 10% mutate","std","N=1000",7.82608e+06,1,100
"Map<uintptr_t,int>","90% find / 10% mutate","spring","N=1000",1.93564e+07,1,100
"Map<uintptr_t,int>","90% find / 10% mutate","unsynced","N=1000",1.89434e+07,1,100
"Map<uintptr_t,int>","90% find / 10% mutate","std","N=10000",9.81484e+06,1,100
"Map<uintptr_t,int>","90% find / 10% mutate","spring","N=10000",3.9273e+07,1,100
"Map<uintptr_t,int>","90% find / 10% mutate","unsynced","N=10000",3.96161e+07,1,100
"Map<uintptr_t,int>","50% find / 50% mutate","std","N=100",1.10921e+07,1,100
"Map<uintptr_t,int>","50% find / 50% mutate","spring","N=100",1.30802e+07,1,100
"Map<uintptr_t,int>","50% find / 50% mutate","unsynced","N=100",1.30676e+07,1,100
"Map<uintptr_t,int>","50% find / 50% mutate","std","N=1000",8.11335e+06,1,100
"Map<uintptr_t,int>","50% find / 50% mutate","spring","N=1000",1.8921e+07,1,100
"Map<uintptr_t,int>","50% find / 50% mutate","unsynced","N=1000",1.87155e+07,1,100
"Map<uintptr_t,int>","50% find / 50% mutate","std","N=10000",9.99734e+06,1,100
"Map<uintptr_t,int>","50% find / 50% mutate","spring","N=10000",2.79549e+07,1,100
"Map<uintptr_t,int>","50% find / 50% mutate","unsynced","N=10000",2.78405e+07,1,100
"Map<uintptr_t,int>","iterate","std","N=100",1.1902e+06,1,100
"Map<uintptr_t,int>","iterate","spring","N=100",2.94379e+06,1,100
"Map<uintptr_t,int>","iterate","unsynced","N=100",2.94502e+06,1,100
"Map<uintptr_t,int>","iterate","std","N=1000",1.35336e+06,1,100
"Map<uintptr_t,int>","iterate","spring","N=1000",2.40311e+06,1,100
"Map<uintptr_t,int>","iterate","unsynced","N=1000",2.41714e+06,1,100
"Map<uintptr_t,int>","iterate","std","N=10000",1.21334e+06,1,100
"Map<uintptr_t,int>","iterate","spring","N=10000",1.83238e+06,1,100
"Map<uintptr_t,int>","iterate","unsynced","N=10000",1.83479e+06,1,100
